,MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,possession,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year
33,17,URU,17,URU,290,401,59.0,3,19,6,47,10,13,101.147,39.074,0,45.553000000000004,0,0,8.5,83.42857143,1052.0,40.71428571,18.85714286,0,1,2010
34,18,FRA,18,FRA,322,476,68.30769231,0,13,4,49,23,23,101.89200000000001,38.772,2,39.106,2,0,8.846153846,83.38461538,1024.0,53.92307692,24.84615385,2,-1,2010
35,18,MEX,18,MEX,286,433,64.14285714,2,12,5,51,25,22,108.87100000000001,40.025999999999996,4,42.315,4,0,9.714285713999999,82.07142857,1155.0,36.07142857,12.14285714,0,1,2010
36,19,GRE,19,GRE,352,455,76.38461538,2,27,11,55,13,15,96.792,36.717,0,31.331999999999997,0,0,8.307692308,84.61538462,782.0,45.38461538,22.76923077,1,1,2010
37,19,NGA,19,NGA,266,372,69.57142857,1,10,4,45,15,13,85.795,27.285,0,35.075,0,0,7.0,86.0,573.0,29.5,10.78571429,2,-1,2010
38,20,ARG,20,ARG,360,484,74.14285714,3,22,11,53,19,18,97.141,39.796,0,35.942,0,0,7.5,85.5,855.0,38.92857143,17.85714286,1,1,2010
39,20,KOR,20,KOR,207,336,62.15384615,1,13,2,47,19,18,103.086,36.611,0,44.851000000000006,0,0,8.615384615,83.53846154,960.0,38.92307692,18.38461538,3,-1,2010
40,21,GER,21,GER,459,570,75.21428571,0,15,4,51,19,9,102.92200000000001,45.092,0,41.607,0,0,9.0,82.92857143,1031.0,50.07142857,21.57142857,1,-1,2010
41,21,SRB,21,SRB,328,448,71.14285714,1,9,3,49,10,19,111.50200000000001,42.761,0,50.95399999999999,0,0,10.0,81.07142857,979.0,36.92857143,11.0,0,1,2010
42,22,SVN,22,SVN,276,406,63.35714286,2,7,4,51,15,16,106.815,39.6,0,41.725,0,0,10.42857143,81.07142857,919.0,44.57142857,19.21428571,2,0,2010
43,22,USA,22,USA,303,428,68.21428571,2,14,6,49,18,14,107.109,40.49,0,41.903999999999996,0,0,8.357142857000001,83.28571429,943.0,42.35714286,16.57142857,2,0,2010
44,23,ALG,23,ALG,383,530,67.14285714,0,11,1,47,13,12,106.884,45.006,0,41.696000000000005,0,0,8.5,83.07142857,939.0,39.14285714,14.92857143,0,0,2010
45,23,ENG,23,ENG,462,602,70.35714286,0,15,6,53,13,12,111.82600000000001,43.521,0,47.473,0,0,10.35714286,80.28571429,1102.0,45.85714286,19.14285714,0,0,2010
46,24,AUS,24,AUS,340,475,63.28571429,1,8,5,59,18,20,102.695,37.469,0,41.576,0,0,10.14285714,81.64285714,1090.0,42.35714286,17.85714286,1,0,2010
47,24,GHA,24,GHA,388,501,74.21428571,1,22,6,41,22,16,101.77600000000001,39.586,0,37.811,0,0,8.642857142999999,83.92857143,966.0,47.0,19.21428571,1,0,2010
48,25,JPN,25,JPN,259,406,65.07142857,0,10,3,35,11,17,108.60600000000001,30.429000000000002,1,52.333,0,0,11.0,80.57142857,1206.0,37.57142857,13.42857143,1,-1,2010
49,25,NED,25,NED,517,668,71.57142857,1,9,5,65,18,11,104.26100000000001,47.011,2,30.184,1,0,9.785714286000001,82.35714286,967.0,47.5,16.85714286,0,1,2010
50,26,CMR,26,CMR,429,559,74.5,1,23,8,53,9,10,99.675,42.437,1,37.427,2,0,8.642857142999999,83.92857143,1005.0,53.71428571,28.07142857,2,-1,2010
51,26,DEN,26,DEN,319,444,69.57142857,2,13,6,47,12,8,106.78,38.638000000000005,1,46.433,2,0,10.28571429,80.71428571,1054.0,30.78571429,9.071428571,1,1,2010
52,27,PAR,27,PAR,308,457,57.28571429,2,11,5,55,18,14,99.46799999999999,35.408,0,39.742,0,0,8.285714286000001,84.0,891.0,47.78571429,20.0,0,1,2010
53,27,SVK,27,SVK,330,469,68.53846154,0,6,1,45,14,16,99.12200000000001,39.098,0,36.556,0,0,7.153846154,85.84615385,797.0,38.46153846,12.84615385,2,-1,2010
54,28,ITA,28,ITA,426,571,71.5,1,23,7,54,11,23,105.88600000000001,48.908,0,33.17,0,0,9.285714286000001,82.5,952.0,58.42857143,31.35714286,1,0,2010
55,28,NZL,28,NZL,162,310,44.35714286,1,3,1,46,25,10,104.617,32.058,0,49.523,0,0,8.928571429,82.71428571,778.0,25.64285714,8.357142857000001,1,0,2010
56,29,BRA,29,BRA,456,545,75.46153846,3,12,6,54,17,23,97.67,38.744,0,34.483000000000004,0,0,8.230769231,84.76923077,765.0,39.0,11.76923077,1,1,2010
57,29,CIV,29,CIV,305,400,75.28571429,1,10,4,46,23,17,95.74799999999999,33.109,0,40.579,0,0,7.357142857,86.21428571,834.0,42.5,16.71428571,3,-1,2010
58,30,POR,30,POR,440,586,72.85714286,7,26,13,57,18,3,109.98100000000001,46.62,2,36.924,2,0,10.28571429,80.5,1127.0,46.21428571,19.78571429,0,1,2010
59,30,PRK,30,PRK,323,461,70.64285714,0,15,4,43,3,18,106.014,35.036,3,48.369,2,0,10.42857143,81.07142857,1271.0,35.5,12.14285714,7,-1,2010
60,31,CHI,31,CHI,437,570,73.71428571,1,20,7,58,19,26,111.52799999999999,50.59,0,33.634,0,0,9.857142857000001,81.85714286,1222.0,49.64285714,25.14285714,0,1,2010
61,31,SUI,31,SUI,165,296,56.0,0,7,1,42,26,13,103.406,30.683000000000003,0,47.435,0,0,9.285714286000001,81.92857143,989.0,40.21428571,16.92857143,1,-1,2010
62,32,ESP,32,ESP,486,632,74.07142857,2,22,7,66,9,17,105.572,45.857,1,37.09,0,0,9.571428571,81.64285714,1010.0,49.5,23.92857143,0,1,2010
63,32,HON,32,HON,293,429,68.5,0,9,0,34,19,9,104.53,34.601,7,48.318000000000005,2,0,9.0,82.14285714,886.0,35.07142857,11.78571429,2,-1,2010
64,33,MEX,33,MEX,476,595,79.35714286,0,11,2,54,20,13,106.235,49.918,0,36.406,0,0,9.071428571,82.71428571,945.0,47.21428571,22.21428571,1,-1,2010
65,33,URU,33,URU,188,315,56.76923077,1,15,5,46,13,20,102.155,33.17,0,48.98,0,0,8.384615385,84.38461538,1004.0,30.30769231,12.61538462,0,1,2010
