MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,possession,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year
1,BRA,1,BRA,433,566,67.78571429,3,14,9,,5,20,102.092,40.566,1,31.48,2,0,9.571428571,83.28571429,329,49.14285714,27.92857143,1,1,2014
1,CRO,1,CRO,284,410,67.07692308,1,10,4,,21,5,109.164,32.441,0,45.832,2,0,9.461538462,82,334,33.46153846,15.07692308,3,-1,2014
2,CMR,2,CMR,284,391,70.38461538,0,10,4,,12,9,100.065,27.962,3,38.934,1,0,7.538461538,85.92307692,318,41.61538462,19.61538462,1,-1,2014
2,MEX,2,MEX,484,598,74.64285714,1,9,5,,11,11,104.435,38.438,5,30.042,1,0,9.357142857,83,320,44.07142857,18,0,1,2014
3,ESP,3,ESP,566,680,80.64285714,1,9,6,,5,17,102.037,39.998,0,34.605,0,0,8.071428571,84.21428571,340,47,19.07142857,5,-1,2014
3,NED,3,NED,318,425,73.71428571,5,13,11,,18,4,109.381,36.945,0,43.749,0,0,9.5,82.14285714,384,35,12.92857143,1,1,2014
4,AUS,4,AUS,324,434,72.07142857,1,13,6,,18,8,115.89,32.605,1,54.831,3,0,10.92857143,79.28571429,388,36.85714286,15.92857143,3,-1,2014
4,CHI,4,CHI,615,729,82,3,11,9,,9,18,113.55,50.997,1,33.257,1,0,10.71428571,80.57142857,475,49.57142857,21,1,1,2014
5,COL,5,COL,328,430,74.57142857,3,12,8,,19,14,107.616,36.943,0,41.128,0,0,9.571428571,82.64285714,366,37.85714286,16.64285714,0,1,2014
5,GRE,5,GRE,377,501,75.28571429,0,12,7,,14,17,104.851,39.888,0,36.408,0,0,9.214285714,83.14285714,325,44.28571429,21.5,3,-1,2014
6,CIV,6,CIV,456,570,77.71428571,2,20,10,,12,13,97.225,39.681,3,31.274,2,0,7.714285714,85.85714286,299,44.92857143,19.85714286,1,1,2014
6,JPN,6,JPN,326,456,69.78571429,1,7,4,,13,11,108.251,33.787,1,46.252,2,0,8.928571429,82.71428571,403,40.14285714,15.71428571,2,-1,2014
7,CRC,7,CRC,313,443,62.14285714,3,12,4,,18,20,108.605,31.894,0,34.327,0,0,8.571428571,83.57142857,306,43.5,20.64285714,1,1,2014
7,URU,7,URU,387,513,74.21428571,1,9,5,,20,18,104.258,32.419,0,30.92,0,0,8.642857143,83.35714286,275,42.35714286,17.21428571,3,-1,2014
8,ENG,8,ENG,467,544,85.07142857,1,18,8,,8,12,107.252,40.389,0,45.937,0,0,8.214285714,83.78571429,301,52.14285714,28.42857143,2,-1,2014
8,ITA,8,ITA,606,679,85.92857143,2,12,5,,12,8,110.458,45.973,0,43.791,0,0,9,82.14285714,301,30.57142857,12.64285714,1,1,2014
9,ECU,9,ECU,266,376,70.61538462,1,10,6,,15,9,98.916,29.591,0,40.456,0,0,7.769230769,85.53846154,306,36.23076923,16.15384615,2,-1,2014
9,SUI,9,SUI,468,583,78.46153846,2,18,12,,9,14,113.628,45.034,0,36.512,0,0,10.15384615,81.07692308,397,49.61538462,25.07692308,1,1,2014
10,FRA,10,FRA,624,717,84.07142857,2,20,10,,13,12,108.179,49.888,1,29.48,3,0,9.571428571,81.92857143,338,59.71428571,32.14285714,0,1,2014
10,HON,10,HON,251,347,73.5,0,4,2,,14,13,98.773,25.456,2,47.572,2,0,8.428571429,83.85714286,320,19.28571429,5.071428571,2,-1,2014
11,ARG,11,ARG,536,637,80.35714286,1,11,5,,10,13,105.432,42.545,0,38.247,1,0,9.428571429,82.42857143,337,40.5,16,1,0,2014
11,BIH,11,BIH,392,498,76.35714286,1,16,11,,14,9,115.488,40.018,3,49.12,1,0,10.57142857,79.71428571,388,40.64285714,18.64285714,1,0,2014
12,IRN,12,IRN,192,309,63.92307692,0,7,3,,18,14,108.289,27.491,0,46.087,0,0,9.615384615,81.92307692,363,27.38461538,10.23076923,0,0,2014
