MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,possession,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year
19,POR,19,POR,293,387,74,1,10,2,47,19,21,105.118,34.367,0,44.875,0,0,10.24107143,82.35385714,329,33.35714286,13.92857143,0,1,2018
20,ESP,20,ESP,718,805,89,1,17,3,70,14,14,55.328,54.961,0,27.704,0,0,9.910714286,81.59014286,339,58.64285714,35.57142857,0,1,2018
20,IRN,20,IRN,152,219,64.21428571,0,5,0,30,14,14,106.396,25.605,0,59.251,0,0,10.57142857,82.22657143,322,24.42857143,11.78571429,1,-1,2018
21,FRA,21,FRA,311,405,71.14285714,1,12,4,44,11,15,102.776,36.446,0,45.001,2,0,10.90178571,82.863,307,40.64285714,18.71428571,0,1,2018
21,PER,21,PER,431,532,78.71428571,0,10,2,56,15,9,71.998,40.746,1,39.661,2,0,7.928571427,83.18121429,331,42.71428571,19.71428571,1,-1,2018
22,AUS,22,AUS,441,520,79.5,1,14,5,51,5,5,54.345,49.25,0,48.409,0,0,11.5625,81.14464286,414,42.5,19.92857143,1,0,2018
22,DEN,22,DEN,403,458,86.38461538,1,10,5,49,7,5,111.502,43.123,1,50.736,2,0,11.38461539,82.24615385,388,43.61538462,20.92307692,1,0,2018
23,ARG,23,ARG,408,505,78.64285714,0,10,3,58,15,22,100.699,39.612,3,36.775,3,0,8.589285714,83.24485714,340,47.85714286,20.57142857,3,-1,2018
23,CRO,23,CRO,296,372,79,3,15,5,42,23,14,64.46,34.036,3,44.831,4,0,11.23214286,81.972,386,33.21428571,15.35714286,0,1,2018
24,ISL,24,ISL,218,291,77.28571429,0,10,3,42,10,9,56.021,33.37,0,46.525,0,0,8.589285714,82.48114286,359,41.42857143,19,2,-1,2018
24,NGA,24,NGA,399,473,85.42857143,2,16,4,58,9,10,99.672,41.213,1,33.187,1,0,10.57142857,82.92664286,316,39.35714286,17.35714286,0,1,2018
25,BRA,25,BRA,662,732,90.14285714,2,23,9,66,11,11,105.076,58.003,3,29.555,2,0,9.910714286,82.54478571,316,59.21428571,32.78571429,0,1,2018
25,CRC,25,CRC,199,273,72.85714286,0,4,0,34,11,11,59.144,27.691,3,63.816,1,0,9.580357141,82.79935714,311,20.78571429,6.928571429,2,-1,2018
26,SRB,26,SRB,241,309,75.84615385,1,12,3,42,17,12,115.588,36.154,0,54.822,0,0,9.605769231,82.10907692,375,39.30769231,17.61538462,2,-1,2018
26,SUI,26,SUI,474,547,76.78571429,2,20,5,58,12,17,62.49,49.781,0,38.585,0,0,13.54464286,82.22657143,366,46.78571429,23.64285714,1,1,2018
27,GER,27,GER,633,699,86.71428571,2,16,5,71,12,12,110.637,60.665,0,25.022,2,1,8.258928573,83.24485714,301,58.42857143,36.71428571,1,1,2018
27,SWE,27,SWE,165,213,75.64285714,1,8,6,29,13,10,60.484,22.985,0,62.742,0,0,7.267857141,82.99028571,236,27.78571429,12.64285714,2,-1,2018
28,KOR,28,KOR,284,346,80.28571429,1,17,6,41,24,7,98.977,32.215,0,44.582,0,0,9.580357141,82.99028571,352,33.42857143,14.92857143,2,-1,2018
28,MEX,28,MEX,432,485,86.07142857,2,13,5,59,7,21,86.591,39.951,0,33.342,0,0,8.919642859,83.18121429,301,46.35714286,21.57142857,1,1,2018
29,BEL,29,BEL,391,468,82.35714286,5,23,12,52,12,13,103.577,41.068,0,38.969,0,0,9.580357141,82.79935714,301,42.92857143,20.07142857,2,1,2018
29,TUN,29,TUN,392,477,80.35714286,2,15,5,48,13,11,71.808,35.958,0,43.156,0,0,8.589285714,82.99028571,350,36,14.21428571,5,-1,2018
30,ENG,30,ENG,557,593,92.07142857,6,12,7,58,14,12,98.559,41.905,3,35.042,1,0,6.9375,83.94492857,276,49.07142857,25.71428571,1,1,2018
30,PAN,30,PAN,352,398,86.78571429,1,8,2,42,13,14,89.006,30.356,0,40.162,3,0,5.285714286,84.645,207,28.92857143,11,6,-1,2018
31,COL,31,COL,419,514,80.85714286,3,13,3,55,10,15,48.314,45.976,0,38.63,0,0,8.589285714,82.73571429,364,34.07142857,14.35714286,0,1,2018
31,POL,31,POL,335,424,80.5,0,9,2,45,15,9,106.618,35.848,0,48.246,0,0,9.25,83.3085,341,43.5,20.78571429,3,-1,2018
32,JPN,32,JPN,376,449,76.42857143,2,7,3,54,8,14,105.088,44.278,0,40.594,0,0,10.90178571,82.09928571,367,40.5,16.21428571,2,0,2018
32,SEN,32,SEN,266,337,72.42857143,2,14,7,46,14,8,82.449,37.423,0,45.956,0,0,10.24107143,82.67207143,356,46.57142857,20.78571429,2,0,2018
33,RUS,33,RUS,296,355,81.42857143,0,3,1,44,18,17,78.08,30.374,0,40.683,2,1,9.25,82.60842857,280,37.92857143,18.14285714,2,-1,2018
33,URU,33,URU,431,492,85.28571429,2,17,7,56,17,17,101.083,38.334,0,32.823,0,0,10.57142857,82.79935714,267,41.92857143,20.5,0,1,2018
34,EGY,34,EGY,293,363,78.28571429,1,8,1,39,16,7,76.28,30.513,3,54.189,2,0,9.580357141,82.73571429,300,31.21428571,13.85714286,2,-1,2018
34,KSA,34,KSA,591,667,81.69230769,2,22,7,61,7,14,101.379,48.108,1,31.407,0,0,8.538461538,83.34276923,333,55.30769231,31.53846154,1,1,2018
