MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,possession,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year,ball_possession
14,PRK,14,PRK,239,362,66.16666667,1,11,3,,10,9,103.729,34.04,1,55.283,0,0,8.833333333,82.08333333,824,26.33333333,9.833333333,2,-1,2010,0.39
15,CHI,15,CHI,383,526,69.35714286,1,20,5,,21,15,86.722,38.044,4,27.596,2,0,9.785714286,82.71428571,793,40.07142857,17.21428571,0,1,2010,0.57
15,HON,15,HON,201,347,57.07142857,0,7,2,,15,20,100.554,30.584,2,45.868,1,0,8.714285714,83.35714286,951,40.5,15.42857143,1,-1,2010,0.43
16,ESP,16,ESP,527,683,69.07142857,0,24,8,,8,19,104.268,51.811,2,27.581,0,0,12.14285714,79.42857143,1323,61.71428571,29,1,-1,2010,0.67
16,SUI,16,SUI,182,318,55.64285714,1,8,3,,21,7,119.913,29.252,1,64.655,4,0,12.42857143,78.64285714,1484,18.21428571,3.857142857,0,1,2010,0.33
17,RSA,17,RSA,423,539,71.84615385,0,10,3,,14,9,95.551,42.841,0,39.197,0,0,8.384615385,84.53846154,915,34.30769231,12.38461538,3,-1,2010,0.53
17,URU,17,URU,290,401,59,3,19,6,,10,13,101.147,39.074,0,45.553,0,0,8.5,83.42857143,1052,40.71428571,18.85714286,0,1,2010,0.47
18,FRA,18,FRA,322,476,68.30769231,0,13,4,,23,23,101.892,38.772,2,39.106,2,0,8.846153846,83.38461538,1024,53.92307692,24.84615385,2,-1,2010,0.49
18,MEX,18,MEX,286,433,64.14285714,2,12,5,,25,22,108.871,40.026,4,42.315,4,0,9.714285714,82.07142857,1155,36.07142857,12.14285714,0,1,2010,0.51
19,GRE,19,GRE,352,455,76.38461538,2,27,11,,13,15,96.792,36.717,0,31.332,0,0,8.307692308,84.61538462,782,45.38461538,22.76923077,1,1,2010,0.55
19,NGA,19,NGA,266,372,69.57142857,1,10,4,,15,13,85.795,27.285,0,35.075,0,0,7,86,573,29.5,10.78571429,2,-1,2010,0.45
20,ARG,20,ARG,360,484,74.14285714,3,22,11,,19,18,97.141,39.796,0,35.942,0,0,7.5,85.5,855,38.92857143,17.85714286,1,1,2010,0.53
20,KOR,20,KOR,207,336,62.15384615,1,13,2,,19,18,103.086,36.611,0,44.851,0,0,8.615384615,83.53846154,960,38.92307692,18.38461538,3,-1,2010,0.47
21,GER,21,GER,459,570,75.21428571,0,15,4,,19,9,102.922,45.092,0,41.607,0,0,9,82.92857143,1031,50.07142857,21.57142857,1,-1,2010,0.51
21,SRB,21,SRB,328,448,71.14285714,1,9,3,,10,19,111.502,42.761,0,50.954,0,0,10,81.07142857,979,36.92857143,11,0,1,2010,0.49
22,SVN,22,SVN,276,406,63.35714286,2,7,4,,15,16,106.815,39.6,0,41.725,0,0,10.42857143,81.07142857,919,44.57142857,19.21428571,2,0,2010,0.51
22,USA,22,USA,303,428,68.21428571,2,14,6,,18,14,107.109,40.49,0,41.904,0,0,8.357142857,83.28571429,943,42.35714286,16.57142857,2,0,2010,0.49
23,ALG,23,ALG,383,530,67.14285714,0,11,1,,13,12,106.884,45.006,0,41.696,0,0,8.5,83.07142857,939,39.14285714,14.92857143,0,0,2010,0.47
23,ENG,23,ENG,462,602,70.35714286,0,15,6,,13,12,111.826,43.521,0,47.473,0,0,10.35714286,80.28571429,1102,45.85714286,19.14285714,0,0,2010,0.53
24,AUS,24,AUS,340,475,63.28571429,1,8,5,,18,20,102.695,37.469,0,41.576,0,0,10.14285714,81.64285714,1090,42.35714286,17.85714286,1,0,2010,0.59
24,GHA,24,GHA,388,501,74.21428571,1,22,6,,22,16,101.776,39.586,0,37.811,0,0,8.642857143,83.92857143,966,47,19.21428571,1,0,2010,0.41
25,JPN,25,JPN,259,406,65.07142857,0,10,3,,11,17,108.606,30.429,1,52.333,0,0,11,80.57142857,1206,37.57142857,13.42857143,1,-1,2010,0.35
